TrainingDataset,HumanGeneID,Symbol,Synonyms,Description,EnsemblGeneID
Tmito,2653,GCSH,GCE|NKH|P23434,glycine cleavage system protein H (aminomethyl carrier),ENSG00000140905
Tmito,23408,SIRT5,SIR2L5|Q9NXA8,sirtuin 5,ENSG00000124523
Tmito,84706,GPT2,ALT2|Q8TD30,glutamic pyruvate transaminase (alanine aminotransferase) 2,ENSG00000166123
Tmito,100188893,TOMM6,OBTP|Q96B49,translocase of outer mitochondrial membrane 6 homolog (yeast),ENSG00000124593
Tmito,26355,FAM162A,C3orf28|E2IG5|HGTD-P|Q96A26,"family with sequence similarity 162, member A",ENSG00000114023
Tmito,10058,ABCB6,ABC|ABC14|DUH3|LAN|MCOPCB7|MTABC3|PRP|umat|Q9NP58,"ATP-binding cassette, sub-family B (MDR/TAP), member 6",ENSG00000115657
Tmito,28992,MACROD1,LRP16|Q9BQ69,MACRO domain containing 1,ENSG00000133315
Tmito,7263,TST,RDS|Q16762,thiosulfate sulfurtransferase (rhodanese),ENSG00000128311
Tmito,4512,COX1,COI|MTCO1|P00395,cytochrome c oxidase subunit I,ENSG00000198804
Tnon_mito,56181,MTFR1L,FAM54B|MST116|MSTP116|Q9H019,mitochondrial fission regulator 1-like,ENSG00000117640
Tnon_mito,56948,SDR39U1,C14orf124|HCDI|Q9NRG7,"short chain dehydrogenase/reductase family 39U, member 1",ENSG00000100445
Tmito,29958,DMGDH,DMGDHD|ME2GLYDH|Q9UI17,dimethylglycine dehydrogenase,ENSG00000132837
Tmito,9016,SLC25A14,BMCP1|UCP5|O95258,"solute carrier family 25 (mitochondrial carrier, brain), member 14",ENSG00000102078
Tpossible_mito,10650,SLMO1,C18orf43|HFL-EDDG1|PRELID3A|Q96N28,slowmo homolog 1 (Drosophila),ENSG00000141391
Tpossible_mito,10478,SLC25A17,PMP34|O43808,"solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17",ENSG00000100372
Tmito,84269,CHCHD5,C2orf9|MIC14|Q9BSY4,coiled-coil-helix-coiled-coil-helix domain containing 5,ENSG00000125611
Tmito,9868,TOMM70A,O94826,translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae),ENSG00000154174
Tmito,4817,NIT1,Q86X76,nitrilase 1,ENSG00000158793
Tmito,81889,FAHD1,C16orf36|YISKL|Q6P587,fumarylacetoacetate hydrolase domain containing 1,ENSG00000180185
Tmito,90550,MCU,C10orf42|CCDC109A|Q8NE86,mitochondrial calcium uniporter,ENSG00000156026
Tmito,1593,CYP27A1,CP27|CTX|CYP27|Q02318,"cytochrome P450, family 27, subfamily A, polypeptide 1",ENSG00000135929
Tmito,4536,ND2,MTND2|P03891,MTND2,ENSG00000198763
Tmito,4538,ND4,MTND4|P03905,"NADH dehydrogenase, subunit 4 (complex I)",ENSG00000198886
Tmito,4540,ND5,MTND5|P03915,"NADH dehydrogenase, subunit 5 (complex I)",ENSG00000198786
Tpossible_mito,4190,MDH1,HEL-S-32|MDH-s|MDHA|MGC:1375|MOR2|P40925,"malate dehydrogenase 1, NAD (soluble)",ENSG00000014641
Tpossible_mito,9812,KIAA0141,DELE|Q14154,KIAA0141,ENSG00000081791
Tmito,79675,FASTKD1,Q53R41,FAST kinase domains 1,ENSG00000138399
Tmito,10240,MRPS31,IMOGN38|MRP-S31|S31mt|Q92665,mitochondrial ribosomal protein S31,ENSG00000102738
Tmito,10840,ALDH1L1,10-FTHFDH|10-fTHF|FDH|FTHFD|O75891,"aldehyde dehydrogenase 1 family, member L1",ENSG00000144908
Tpossible_mito,26024,PTCD1,O75127,pentatricopeptide repeat domain 1,ENSG00000106246
Tmito,3032,HADHB,ECHB|MTPB|TP-BETA|P55084,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit",ENSG00000138029
Tmito,54802,TRIT1,IPT|MOD5|Q9H3H1,tRNA isopentenyltransferase 1,ENSG00000043514
Tmito,54675,CRLS1,C20orf155|CLS|CLS1|GCD10|dJ967N21.6|Q9UJA2,cardiolipin synthase 1,ENSG00000088766
Tpossible_mito,132158,GLYCTK,HBEBP2|HBEBP4|HBeAgBP4A|Q8IVS8,glycerate kinase,ENSG00000168237
Tmito,81034,SLC25A32,MFT|MFTC|Q9H2D1,"solute carrier family 25 (mitochondrial folate carrier), member 32",ENSG00000164933
Tmito,57505,AARS2,AARSL|COXPD8|MT-ALARS|MTALARS|Q5JTZ9,"alanyl-tRNA synthetase 2, mitochondrial",ENSG00000124608
Tmito,9941,EXOG,ENDOGL1|ENDOGL2|ENGL|ENGL-a|ENGL-b|ENGLA|ENGLB|Q9Y2C4,"endo/exonuclease (5'-3'), endonuclease G-like",ENSG00000157036
Tmito,51142,CHCHD2,C7orf17|Q9Y6H1,coiled-coil-helix-coiled-coil-helix domain containing 2,ENSG00000106153
Tpossible_mito,8564,KMO,dJ317G22.1|O15229,kynurenine 3-monooxygenase (kynurenine 3-hydroxylase),ENSG00000117009
Tmito,94097,SFXN5,BBG-TCC|Q8TD22,sideroflexin 5,ENSG00000144040
Tmito,60528,ELAC2,COXPD17|ELC2|HPC2|Q9BQ52,elaC ribonuclease Z 2,ENSG00000006744
Tmito,2876,GPX1,GPXD|GSHPX1|P07203,glutathione peroxidase 1,ENSG00000233276
Tmito,1375,CPT1B,CPT1-M|CPT1M|CPTI|CPTI-M|M-CPT1|MCCPT1|MCPT1|Q92523,carnitine palmitoyltransferase 1B (muscle),ENSG00000205560
Tpossible_mito,4199,ME1,HUMNDME|MES|P48163,"malic enzyme 1, NADP(+)-dependent, cytosolic",ENSG00000065833
Tmito,51024,FIS1,TTC11|Q9Y3D6,fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae),ENSG00000214253
Tmito,27166,PRELID1,PRELI|PX19|SBBI12|Q9Y255,PRELI domain containing 1,ENSG00000169230
Tmito,7352,UCP3,SLC25A9|P55916,"uncoupling protein 3 (mitochondrial, proton carrier)",ENSG00000175564
Tmito,9481,SLC25A27,UCP4|O95847,"solute carrier family 25, member 27",ENSG00000153291
Tmito,55972,SLC25A40,MCFP|Q8TBP6,"solute carrier family 25, member 40",ENSG00000075303
Tmito,79085,SLC25A23,APC2|MCSC2|SCaMC-3|Q9BV35,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23",ENSG00000125648
Tmito,51409,HEMK1,HEMK|MTQ1|Q9Y5R4,HemK methyltransferase family member 1,ENSG00000114735
Tmito,55186,SLC25A36,PNC2|Q96CQ1,"solute carrier family 25 (pyrimidine nucleotide carrier ), member 36",ENSG00000114120
Tmito,115209,OMA1,2010001O09Rik|DAB1|MPRP-1|YKR087C|ZMPOMA1|peptidase|Q96E52,OMA1 zinc metallopeptidase,ENSG00000162600
Tpossible_mito,137994,LETM2,Q2VYF4,leucine zipper-EF-hand containing transmembrane protein 2,ENSG00000165046
Tpossible_mito,115817,DHRS1,SDR19C1|Q96LJ7,dehydrogenase/reductase (SDR family) member 1,ENSG00000157379
Tnon_mito,2040,STOM,BND7|EPB7|EPB72|P27105,stomatin,ENSG00000148175
Tnon_mito,29081,METTL5,HSPC133|Q9NRN9,methyltransferase like 5,ENSG00000138382
Tpossible_mito,4482,MSRA,PMSR|Q9UJ68,methionine sulfoxide reductase A,ENSG00000175806
Tmito,254552,NUDT8,Q8WV74,nudix (nucleoside diphosphate linked moiety X)-type motif 8,ENSG00000167799
Tmito,349565,NMNAT3,PNAT-3|PNAT3|Q96T66,nicotinamide nucleotide adenylyltransferase 3,ENSG00000163864
Tpossible_mito,54977,SLC25A38,Q96DW6,"solute carrier family 25, member 38",ENSG00000144659
Tmito,84769,MPV17L2,FKSG24|Q567V2,MPV17 mitochondrial membrane protein-like 2,ENSG00000254858
Tmito,47,ACLY,ACL|ATPCL|CLATP|P53396,ATP citrate lyase,ENSG00000131473
Tpossible_mito,225,ABCD2,ABC39|ALDL1|ALDR|ALDRP|hALDR|Q9UBJ2,"ATP-binding cassette, sub-family D (ALD), member 2",ENSG00000173208
Tmito,80308,FLAD1,FAD1|FADS|RP11-307C12.7|Q8NFF5,flavin adenine dinucleotide synthetase 1,ENSG00000160688
Tmito,51601,LIPT1,Q9Y234,lipoyltransferase 1,ENSG00000144182
Tmito,80017,C14orf159,Q7Z3D6,chromosome 14 open reading frame 159,ENSG00000133943
Tmito,5106,PCK2,PEPCK|PEPCK-M|PEPCK2|Q16822,phosphoenolpyruvate carboxykinase 2 (mitochondrial),ENSG00000100889
Tmito,133686,NADK2,C5orf33|MNADK|NADKD1|Q4G0N4,"NAD kinase 2, mitochondrial",ENSG00000152620
Tmito,3099,HK2,HKII|HXK2|P52789,hexokinase 2,ENSG00000159399
Tmito,4357,MPST,MST|TST2|P25325,mercaptopyruvate sulfurtransferase,ENSG00000128309
Tmito,25961,NUDT13,Q86X67,nudix (nucleoside diphosphate linked moiety X)-type motif 13,ENSG00000166321
Tpossible_mito,31,ACACA,ACAC|ACACAD|ACC|ACC1|ACCA|Q13085,acetyl-CoA carboxylase alpha,ENSG00000132142
Tmito,18,ABAT,GABA-AT|GABAT|NPD009|P80404,4-aminobutyrate aminotransferase,ENSG00000183044
Tmito,3158,HMGCS2,P54868,3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial),ENSG00000134240
Tmito,7915,ALDH5A1,SSADH|SSDH|P51649,"aldehyde dehydrogenase 5 family, member A1",ENSG00000112294
Tmito,548596,CKMT1A,CKMT1,"creatine kinase, mitochondrial 1A",ENSG00000223572
Tpossible_mito,23761,PISD,DJ858B16|PSD|PSDC|PSSC|dJ858B16.2|Q9UG56,phosphatidylserine decarboxylase,ENSG00000241878
Tmito,4710,NDUFB4,B15|CI-B15|O95168,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa",ENSG00000065518
Tmito,10975,UQCR11,0710008D09Rik|QCR10|UQCR|O14957,"ubiquinol-cytochrome c reductase, complex III subunit XI",ENSG00000127540
Tmito,84908,FAM136A,Q96C01,"family with sequence similarity 136, member A",ENSG00000035141
Tmito,401505,TOMM5,C9orf105|RP11-263I4.1|Tom5|bA613M10.3|Q8N4H5,translocase of outer mitochondrial membrane 5 homolog (yeast),ENSG00000175768
Tmito,27429,HTRA2,OMI|PARK13|PRSS25|O43464,HtrA serine peptidase 2,ENSG00000115317
Tnon_mito,2821,GPI,AMF|GNPI|NLK|PGI|PHI|SA-36|SA36|P06744,glucose-6-phosphate isomerase,ENSG00000105220
Tmito,4694,NDUFA1,CI-MWFE|MWFE|ZNF183|O15239,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa",ENSG00000125356
Tmito,4519,CYTB,MTCYB|P00156,cytochrome b,ENSG00000198727
Tmito,2987,GUK1,GMK|Q16774,guanylate kinase 1,ENSG00000143774
Tmito,728294,D2HGDH,D2HGD|Q8N465,D-2-hydroxyglutarate dehydrogenase,ENSG00000180902
Tmito,80207,OPA3,MGA3|Q9H6K4,"optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)",ENSG00000125741
Tpossible_mito,57016,AKR1B10,AKR1B11|AKR1B12|ALDRLn|ARL-1|ARL1|HIS|HSI|O60218,"aldo-keto reductase family 1, member B10 (aldose reductase)",ENSG00000198074
Tpossible_mito,5264,PHYH,LN1|LNAP1|PAHX|PHYH1|RD|O14832,phytanoyl-CoA 2-hydroxylase,ENSG00000107537
Tmito,91942,NDUFAF2,B17.2L|MMTN|NDUFA12L|mimitin|Q8N183,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 2",ENSG00000164182
Tmito,51295,ECSIT,SITPEC|Q9BQ95,ECSIT signalling integrator,ENSG00000130159
Tmito,55486,PARL,PSARL|PSARL1|PSENIP2|RHBDS1|Q9H300,"presenilin associated, rhomboid-like",ENSG00000175193
Tmito,28977,MRPL42,L31MT|L42MT|MRP-L31|MRP-L42|MRP-S32|MRPL31|MRPS32|PTD007|RPML31|S32MT|Q9Y6G3,mitochondrial ribosomal protein L42,ENSG00000198015
Tmito,3338,DNAJC4,DANJC4|HSPF2|MCG18|Q9NNZ3,"DnaJ (Hsp40) homolog, subfamily C, member 4",ENSG00000110011
Tmito,51025,PAM16,MAGMAS|TIM16|TIMM16|Q9Y3D7,presequence translocase-associated motor 16 homolog (S. cerevisiae),ENSG00000217930
Tpossible_mito,224,ALDH3A2,ALDH10|FALDH|SLS|P51648,"aldehyde dehydrogenase 3 family, member A2",ENSG00000072210
Tpossible_mito,23305,ACSL6,ACS2|FACL6|LACS 6|LACS2|LACS5|Q9UKU0,acyl-CoA synthetase long-chain family member 6,ENSG00000164398
Tpossible_mito,219743,TYSND1,NET41|Q2T9J0,trypsin domain containing 1,ENSG00000156521
Tmito,57380,MRS2,HPT|MRS2L|Q9HD23,MRS2 magnesium transporter,ENSG00000124532
Tmito,55347,ABHD10,Q9NUJ1,abhydrolase domain containing 10,ENSG00000144827
Tpossible_mito,135114,HINT3,HINT4|Q9NQE9,histidine triad nucleotide binding protein 3,ENSG00000111911
Tnon_mito,11264,PXMP4,PMP24|Q9Y6I8,"peroxisomal membrane protein 4, 24kDa",ENSG00000101417
Tmito,64172,OSGEPL1,Qri7|Q9H4B0,O-sialoglycoprotein endopeptidase-like 1,ENSG00000128694
Tpossible_mito,318,NUDT2,APAH1|P50583,nudix (nucleoside diphosphate linked moiety X)-type motif 2,ENSG00000164978
Tmito,80777,CYB5B,CYB5-M|CYPB5M|OMB5|RP11-140H17.1|O43169,cytochrome b5 type B (outer mitochondrial membrane),ENSG00000103018
Tmito,2926,GRSF1,Q12849,G-rich RNA sequence binding factor 1,ENSG00000132463
Tmito,28973,MRPS18B,C6orf14|HSPC183|HumanS18a|MRP-S18-2|MRPS18-2|PTD017|S18amt|Q9Y676,mitochondrial ribosomal protein S18B,ENSG00000203624
Tmito,84277,DNAJC30,WBSCR18|Q96LL9,"DnaJ (Hsp40) homolog, subfamily C, member 30",ENSG00000176410
Tpossible_mito,847,CAT,P04040,catalase,ENSG00000121691
Tmito,1716,DGUOK,MTDPS3|dGK|Q16854,deoxyguanosine kinase,ENSG00000114956
Tmito,23597,ACOT9,ACATE2|MT-ACT48|MTACT48|Q9Y305,acyl-CoA thioesterase 9,ENSG00000123130
Tmito,84532,ACSS1,ACAS2L|ACECS1|AceCS2L|Q9NUB1,acyl-CoA synthetase short-chain family member 1,ENSG00000154930
Tpossible_mito,55312,RFK,RIFK|Q969G6,riboflavin kinase,ENSG00000135002
Tmito,56910,STARD7,GTT1|Q9NQZ5,StAR-related lipid transfer (START) domain containing 7,ENSG00000084090
Tnon_mito,56994,CHPT1,CPT|CPT1|Q8WUD6,choline phosphotransferase 1,ENSG00000111666
Tmito,4509,ATP8,ATPase8|MTATP8|P03928,ATP synthase F0 subunit 8,ENSG00000228253
Tmito,51300,TIMMDC1,C3orf1|Q9NPL8,translocase of inner mitochondrial membrane domain containing 1,ENSG00000113845
Tpossible_mito,219938,SPATA19,CT132|SPAS1|spergen1|Q7Z5L4,spermatogenesis associated 19,ENSG00000166118
Tnon_mito,10553,HTATIP2,CC3|SDR44U1|TIP30|Q9BUP3,"HIV-1 Tat interactive protein 2, 30kDa",ENSG00000109854
Tmito,8574,AKR7A2,AFAR|AFAR1|AFB1-AR1|AKR7|O43488,"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)",ENSG00000053371
Tmito,1854,DUT,dUTPase|P33316,deoxyuridine triphosphatase,ENSG00000128951
Tnon_mito,9703,KIAA0100,BCOX|BCOX1|CT101|Q14667,KIAA0100,ENSG00000007202
Tmito,4514,COX3,COIII|MTCO3|P00414,cytochrome c oxidase III,ENSG00000198938
Tnon_mito,25979,DHRS7B,SDR32C1|Q6IAN0,dehydrogenase/reductase (SDR family) member 7B,ENSG00000109016
Tmito,9617,MTRF1,MRF1|MTTRF1|RF1|O75570,mitochondrial translational release factor 1,ENSG00000120662
Tpossible_mito,55260,TMEM143,Q96AN5,transmembrane protein 143,ENSG00000161558
Tmito,56953,NT5M,dNT-2|dNT2|mdN|Q9NPB1,"5',3'-nucleotidase, mitochondrial",ENSG00000205309
Tmito,55288,RHOT1,ARHT1|MIRO-1|MIRO1|Q8IXI2,ras homolog family member T1,ENSG00000126858
Tmito,4833,NME4,NDPK-D|NM23H4|nm23-H4|O00746,NME/NM23 nucleoside diphosphate kinase 4,ENSG00000103202
Tnon_mito,10588,MTHFS,HsT19268|P49914,"5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)",ENSG00000136371
Tnon_mito,90580,C19orf52,Q9BSF4,chromosome 19 open reading frame 52,ENSG00000142444
Tmito,55163,PNPO,HEL-S-302|PDXPO|Q9NVS9,pyridoxamine 5'-phosphate oxidase,ENSG00000108439
Tpossible_mito,3417,IDH1,HEL-216|HEL-S-26|IDCD|IDH|IDP|IDPC|PICD|O75874,"isocitrate dehydrogenase 1 (NADP+), soluble",ENSG00000138413
Tmito,221154,MICU2,1110008L20Rik|EFHA1|Q8IYU8,mitochondrial calcium uptake 2,ENSG00000165487
Tpossible_mito,84105,PCBD2,DCOH2|DCOHM|PHS2|Q9H0N5,pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2,ENSG00000132570
Tmito,55278,QRSL1,GatA|Q9H0R6,glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1,ENSG00000130348
Tpossible_mito,57143,ADCK1,Q86TW2,aarF domain containing kinase 1,ENSG00000063761
Tpossible_mito,9588,PRDX6,1-Cys|AOP2|HEL-S-128m|NSGPx|PRX|aiPLA2|p29|P30041,peroxiredoxin 6,ENSG00000117592
Tnon_mito,7086,TKT,HEL107|TK|TKT1|P29401,transketolase,ENSG00000163931
Tmito,8508,NIPSNAP1,Q9BPW8,nipsnap homolog 1 (C. elegans),ENSG00000184117
Tpossible_mito,2617,GARS,CMT2D|DSMAV|GlyRS|HMN5|SMAD1|P41250,glycyl-tRNA synthetase,ENSG00000106105
Tpossible_mito,123876,ACSM2A,A-923A4.1|ACSM2|Q08AH3,acyl-CoA synthetase medium-chain family member 2A,ENSG00000183747
Tmito,84275,SLC25A33,BMSC-MCP|PNC1|Q9BSK2,"solute carrier family 25 (pyrimidine nucleotide carrier), member 33",ENSG00000171612
Tnon_mito,207063,DHRSX,CXorf11|DHRS5X|DHRS5Y|DHRSXY|DHRSY|SDR46C1|Q8N5I4,dehydrogenase/reductase (SDR family) X-linked,ENSG00000169084
Tnon_mito,201229,LYRM9,C17orf108|A8MSI8,LYR motif containing 9,ENSG00000232859
Tpossible_mito,53917,RAB24,Q969Q5,"RAB24, member RAS oncogene family",ENSG00000169228
Tmito,25973,PARS2,MT-PRORS|Q7L3T8,"prolyl-tRNA synthetase 2, mitochondrial (putative)",ENSG00000162396
Tmito,122704,MRPL52,Q86TS9,mitochondrial ribosomal protein L52,ENSG00000172590
Tmito,80324,PUS1,MLASA1|Q9Y606,pseudouridylate synthase 1,ENSG00000177192
Tmito,2806,GOT2,KAT4|KATIV|mitAAT|P00505,"glutamic-oxaloacetic transaminase 2, mitochondrial",ENSG00000125166
Tmito,55739,CARKD,LP3298|Q8IW45,carbohydrate kinase domain containing,ENSG00000213995
Tmito,4537,ND3,MTND3|P03897,"NADH dehydrogenase, subunit 3 (complex I)",ENSG00000198840
Tnon_mito,84680,ACCS,ACS|PHACS|Q96QU6,1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional),ENSG00000110455
Tmito,51651,PTRH2,BIT1|PTH2|Q9Y3E5,peptidyl-tRNA hydrolase 2,ENSG00000141378
Tpossible_mito,9489,PGS1,Q32NB8,phosphatidylglycerophosphate synthase 1,ENSG00000087157
Tmito,55074,OXR1,TLDC3|Q8N573,oxidation resistance 1,ENSG00000164830
Tnon_mito,127018,LYPLAL1,Q5VWZ2,lysophospholipase-like 1,ENSG00000143353
Tnon_mito,54943,DNAJC28,C21orf55|C21orf78|Q9NX36,"DnaJ (Hsp40) homolog, subfamily C, member 28",ENSG00000177692
Tnon_mito,9446,GSTO1,GSTO 1-1|GSTTLp28|HEL-S-21|P28|SPG-R|P78417,glutathione S-transferase omega 1,ENSG00000148834
Tmito,2356,FPGS,Q05932,folylpolyglutamate synthase,ENSG00000136877
Tpossible_mito,374882,TMEM205,UNQ501|Q6UW68,transmembrane protein 205,ENSG00000105518
Tpossible_mito,401612,SLC25A53,MCART6|Q5H9E4,"solute carrier family 25, member 53",ENSG00000176274
Tmito,150209,AIFM3,AIFL|Q96NN9,"apoptosis-inducing factor, mitochondrion-associated, 3",ENSG00000183773
Tpossible_mito,4257,MGST1,GST12|MGST|MGST-I|P10620,microsomal glutathione S-transferase 1,ENSG00000008394
Tnon_mito,154664,ABCA13,Q86UQ4,"ATP-binding cassette, sub-family A (ABC1), member 13",ENSG00000179869
Tmito,51537,MTFP1,MTP18|Q9UDX5,mitochondrial fission process 1,ENSG00000242114
Tnon_mito,10381,TUBB3,CDCBM|CDCBM1|CFEOM3|CFEOM3A|FEOM3|TUBB4|beta-4|Q13509,"tubulin, beta 3 class III",ENSG00000198211
Tpossible_mito,51287,COA4,CHCHD8|CMC3|E2IG2|Q9NYJ1,cytochrome c oxidase assembly factor 4 homolog (S. cerevisiae),ENSG00000181924
Tmito,60491,NIF3L1,ALS2CR1|CALS-7|Q9GZT8,NIF3 NGG1 interacting factor 3-like 1 (S. cerevisiae),ENSG00000196290
Tmito,126789,PUSL1,Q8N0Z8,pseudouridylate synthase-like 1,ENSG00000169972
Tpossible_mito,113675,SDSL,SDH 2|SDS-RS1|TDH|Q96GA7,serine dehydratase-like,ENSG00000139410
Tmito,581,BAX,BCL2L4|Q07812,BCL2-associated X protein,ENSG00000087088
Tmito,57506,MAVS,CARDIF|IPS-1|IPS1|VISA|Q7Z434,mitochondrial antiviral signaling protein,ENSG00000088888
Tmito,64745,METTL17,METT11D1|Q9H7H0,methyltransferase like 17,ENSG00000165792
Tpossible_mito,32,ACACB,ACC2|ACCB|HACC275|O00763,acetyl-CoA carboxylase beta,ENSG00000076555
Tmito,384,ARG2,P78540,arginase 2,ENSG00000081181
Tmito,55149,MTPAP,PAPD1|SPAX4|Q9NVV4,mitochondrial poly(A) polymerase,ENSG00000107951
Tmito,79714,CCDC51,Q96ER9,coiled-coil domain containing 51,ENSG00000164051
Tmito,79783,SUGCT,C7orf10|DERP13|ORF19|Q9HAC7,succinylCoA:glutarate-CoA transferase,ENSG00000175600
Tmito,10059,DNM1L,DLP1|DRP1|DVLP|DYMPLE|EMPF|HDYNIV|O00429,dynamin 1-like,ENSG00000087470
Tpossible_mito,4898,NRD1,hNRD1|hNRD2|O43847,nardilysin (N-arginine dibasic convertase),ENSG00000078618
Tpossible_mito,55863,TMEM126B,Q8IUX1,transmembrane protein 126B,ENSG00000171204
Tmito,387338,NSUN4,RP4-603I14.2|SHTAP|Q96CB9,"NOP2/Sun domain family, member 4",ENSG00000117481
Tpossible_mito,79611,ACSS3,Q9H6R3,acyl-CoA synthetase short-chain family member 3,ENSG00000111058
Tnon_mito,116151,FAM210B,5A3|C20orf108|dJ1167H4.1|Q96KR6,"family with sequence similarity 210, member B",ENSG00000124098
Tmito,79863,RBFA,C18orf22|HsT169|Q8N0V3,ribosome binding factor A (putative),ENSG00000101546
Tmito,493856,CISD2,ERIS|Miner1|NAF-1|WFS2|ZCD2|Q8N5K1,CDGSH iron sulfur domain 2,ENSG00000145354
Tmito,254042,METAP1D,MAP 1D|MAP1D|MetAP 1D|Metap1l|Q6UB28,methionyl aminopeptidase type 1D (mitochondrial),ENSG00000172878
Tnon_mito,10768,AHCYL1,DCAL|IRBIT|PRO0233|XPVKONA|O43865,adenosylhomocysteinase-like 1,ENSG00000168710
Tmito,25934,NIPSNAP3A,NIPSNAP4|TASSC|Q9UFN0,nipsnap homolog 3A (C. elegans),ENSG00000136783
Tpossible_mito,64757,MARC1,MOSC1|Q5VT66,mitochondrial amidoxime reducing component 1,ENSG00000186205
Tpossible_mito,139341,FUNDC1,Q8IVP5,FUN14 domain containing 1,ENSG00000069509
Tpossible_mito,2180,ACSL1,ACS1|FACL1|FACL2|LACS|LACS1|LACS2|P33121,acyl-CoA synthetase long-chain family member 1,ENSG00000151726
Tmito,116228,COX20,FAM36A|Q5RI15,COX20 cytochrome C oxidase assembly factor,ENSG00000203667
Tmito,83693,HSDL1,SDR12C3|Q3SXM5,hydroxysteroid dehydrogenase like 1,ENSG00000103160
Tnon_mito,874,CBR3,HEL-S-25|SDR21C2|hCBR3|O75828,carbonyl reductase 3,ENSG00000159231
Tmito,130916,MTERFD2,MTERF4|Q7Z6M4,MTERF domain containing 2,ENSG00000122085
Tmito,390916,NUDT19,RP2|A8MXV4,nudix (nucleoside diphosphate linked moiety X)-type motif 19,ENSG00000213965
Tmito,50865,HEBP1,HBP|HEBP|Q9NRV9,heme binding protein 1,ENSG00000013583
Tmito,114971,PTPMT1,DUSP23|MOSP|PLIP|Q8WUK0,"protein tyrosine phosphatase, mitochondrial 1",ENSG00000110536
Tmito,192111,PGAM5,BXLBV68|Q96HS1,phosphoglycerate mutase family member 5,ENSG00000247077
Tpossible_mito,1841,DTYMK,CDC8|PP3731|TMPK|TYMK|P23919,deoxythymidylate kinase (thymidylate kinase),ENSG00000168393
Tmito,3735,KARS,CMTRIB|DFNB89|KARS1|KARS2|KRS|Q15046,lysyl-tRNA synthetase,ENSG00000065427
Tmito,6770,STAR,STARD1|P49675,steroidogenic acute regulatory protein,ENSG00000147465
Tmito,131118,DNAJC19,PAM18|TIM14|TIMM14|Q96DA6,"DnaJ (Hsp40) homolog, subfamily C, member 19",ENSG00000205981
Tnon_mito,3145,HMBS,PBG-D|PBGD|PORC|UPS|P08397,hydroxymethylbilane synthase,ENSG00000256269
Tmito,5009,OTC,OCTD|P00480,ornithine carbamoyltransferase,ENSG00000036473
Tmito,9167,COX7A2L,COX7AR|COX7RP|EB1|SIG81|O14548,cytochrome c oxidase subunit VIIa polypeptide 2 like,ENSG00000115944
Tmito,51001,MTERFD1,mTERF3|Q96E29,MTERF domain containing 1,ENSG00000156469
Tpossible_mito,118980,SFXN2,Q96NB2,sideroflexin 2,ENSG00000156398
Tpossible_mito,2194,FASN,FAS|OA-519|SDR27X1|P49327,fatty acid synthase,ENSG00000169710
Tmito,65018,PINK1,BRPK|PARK6|Q9BXM7,PTEN induced putative kinase 1,ENSG00000158828
Tnon_mito,80775,TMEM177,Q53S58,transmembrane protein 177,ENSG00000144120
Tmito,7296,TXNRD1,GRIM-12|TR|TR1|TRXR1|TXNR|Q16881,thioredoxin reductase 1,ENSG00000198431
Tmito,79896,THNSL1,TSH1|Q8IYQ7,threonine synthase-like 1 (S. cerevisiae),ENSG00000185875
Tnon_mito,2542,SLC37A4,G6PT1|G6PT2|G6PT3|GSD1b|GSD1c|GSD1d|TRG-19|TRG19|O43826,"solute carrier family 37 (glucose-6-phosphate transporter), member 4",ENSG00000137700
Tpossible_mito,2224,FDPS,FPPS|FPS|P14324,farnesyl diphosphate synthase,ENSG00000160752
Tpossible_mito,3422,IDI1,IPP1|IPPI1|Q13907,isopentenyl-diphosphate delta isomerase 1,ENSG00000067064
Tmito,7156,TOP3A,TOP3|Q13472,topoisomerase (DNA) III alpha,ENSG00000177302
Tmito,94033,FTMT,MTF|Q8N4E7,ferritin mitochondrial,ENSG00000181867
Tpossible_mito,92483,LDHAL6B,LDH6B|LDHAL6|LDHL|Q9BYZ2,lactate dehydrogenase A-like 6B,ENSG00000171989
Tnon_mito,6311,ATXN2,ASL13|ATX2|SCA2|TNRC13|Q99700,ataxin 2,ENSG00000204842
Tmito,9650,MTFR1,CHPPR|FAM54A2|Q15390,mitochondrial fission regulator 1,ENSG00000066855
